"序号","算法","文件名","哈希值","文件大小(bit)","最后修改时间","创建时间","路径","时间状态"
"1","SHA256","王贵平_6FECA20A_public.asc","117EC219E3725B0FF95AD7B4E5641F4F11A063C5D6BE826A425C9D9242C90AAE","3191","2025年8月4日  22:06:56","2025年8月4日  22:06:56","K:\Pub_GpgKeys","正常"
"2","SHA256","王贵平_6FECA20A_public.asc.sig","AD57E5C138D9ADB544AB8F511B3ED08AA7B4AEE25BC737BB586194735D322361","566","2025年8月7日  08:45:19","2025年8月7日  08:44:49","K:\Pub_GpgKeys","正常"
